"","country","survey","year","obs","admin_level","admin1","admin1_num","urban","fever","access","formal","hcnobeds","hcbeds","opd","chw","test","fline","othrantimal","compl_f","compl_i","eff_cov","scaling","imputed"
"1","kenya","KEKR52FL20082009.DTA",2009,396,"region","nairobi",1,1,0.181826979427686,0.550062197493109,0.908485603168323,0.333822390440898,0.549555114938771,0.116622494620331,0,NA,0.117048137072761,0.0602887823010195,0.672338264701342,0.537870611761074,0.404412877392373,0.735212998158156,TRUE
"2","kenya","KEKR52FL20082009.DTA",2009,460,"region","central",2,0.200571301232563,0.26544874235927,0.513924021900773,0.879193595086179,0.37574782002393,0.317381436391239,0.306870743584831,0,NA,0.131566345057711,0.0956374424954549,0.593404994385612,0.47472399550849,0.358719043394734,0.698000148091919,TRUE
"3","kenya","KEKR52FL20082009.DTA",2009,831,"region","coast",3,0.443879571352711,0.349627718237184,0.725043389061389,0.779921486102966,0.667240549689252,0.135129585384696,0.192229288786434,0.00540057613961791,NA,0.149877159737757,0.105885927727174,0.591382673166474,0,0.448546997954115,0.618648490174892,FALSE
"4","kenya","KEKR52FL20082009.DTA",2009,717,"region","eastern",4,0.0644043645163579,0.178839784349956,0.658830548611687,0.805996455718695,0.49313404529718,0.172682555130659,0.334183399572161,0,NA,0.139640532262353,0.176015141903532,0.46024009763476,0.368192078107808,0.413333841052984,0.627375038883635,TRUE
"5","kenya","KEKR52FL20082009.DTA",2009,999,"region","nyanza",5,0.10799747783649,0.243032163836344,0.786325844559174,0.699722211699738,0.614796656504531,0.15252578540421,0.22492483955113,0.00775271854012964,NA,0.121321665743905,0.251549099787323,0.366086411978065,0.0653708302861499,0.416111941067333,0.529185125920173,FALSE
"6","kenya","KEKR52FL20082009.DTA",2009,1014,"region","rift valley",6,0.0916735441840252,0.20946028936272,0.554527669039742,0.852483644577458,0.566946686428347,0.131328553836611,0.301724759735042,0,NA,0.110670025211968,0.189899829497074,0.394470767506177,0.242320297867141,0.340902277730773,0.614761529070502,FALSE
"7","kenya","KEKR52FL20082009.DTA",2009,741,"region","western",7,0.106241345455675,0.300966692555433,0.490680767400534,0.679029992152056,0.5543542327094,0.333380334474343,0.112265432816257,0,NA,0.0632949820179405,0.342079845241858,0.162883650655637,0.120315344432371,0.235470569209456,0.479885466994972,FALSE
"8","kenya","KEKR52FL20082009.DTA",2009,548,"region","northeastern",8,0.148402971408946,0.234200571018295,0.538797694471788,0.98541130896739,0.541275117893417,0.026958063186875,0.41569270247383,0.0160741164458782,NA,0.16790868427977,0.145321853377257,0.555303733860172,0,0.386059639682717,0.716520585822462,FALSE
"9","kenya","KEKR52FL20082009.DTA",2009,5706,"country","kenya",NA,0.184288623572808,0.237485320040608,0.61831947567723,0.785786600203029,0.554142144071102,0.193377535719077,0.249490418651929,0.00298990155789245,NA,0.120192677109898,0.195924064183494,0.407479770150634,0.141737113091839,0.361554667367031,0.584737634167239,FALSE
